Timestamp,Channel,category,intent,Response_Time_ms,Status,CSAT_Rating,Sentiment_Score
2026-05-25 15:43:00,WhatsApp Banking,ORDER,cancel_order,1010,Success,3,0.0
2026-05-08 11:33:00,Telegram Bot,ORDER,cancel_order,1194,Success,3,0.0
2026-05-26 03:18:00,Telegram Bot,ORDER,cancel_order,271,Success,3,0.0
2026-05-15 04:03:00,WhatsApp Banking,ORDER,cancel_order,616,Success,3,0.0
2026-05-28 21:32:00,WhatsApp Banking,ORDER,cancel_order,480,Success,3,0.0
2026-05-18 10:12:00,Telegram Bot,ORDER,cancel_order,237,Success,3,0.0
2026-05-22 20:39:00,WhatsApp Banking,ORDER,cancel_order,1021,Success,3,0.0
2026-05-25 16:50:00,WhatsApp Banking,ORDER,cancel_order,280,Success,3,0.0
2026-05-13 20:35:00,WhatsApp Banking,ORDER,cancel_order,919,Success,3,0.0
2026-05-23 02:06:00,WhatsApp Banking,ORDER,cancel_order,493,Success,3,0.0
2026-05-21 18:19:00,Web Chat,ORDER,cancel_order,955,Success,3,0.0
2026-05-02 14:21:00,Telegram Bot,ORDER,cancel_order,535,Success,3,0.0
2026-05-04 20:08:00,Telegram Bot,ORDER,cancel_order,1105,Success,3,0.0
2026-05-12 15:27:00,Telegram Bot,ORDER,cancel_order,426,Success,3,0.0
2026-05-22 09:37:00,Telegram Bot,ORDER,cancel_order,609,Success,3,0.0
2026-05-29 12:44:00,Telegram Bot,ORDER,cancel_order,171,Success,3,0.0
2026-05-14 04:03:00,Telegram Bot,ORDER,cancel_order,402,Success,3,0.0
2026-05-15 04:56:00,WhatsApp Banking,ORDER,cancel_order,897,Success,3,0.0
2026-05-05 17:06:00,Telegram Bot,ORDER,cancel_order,1006,Success,3,0.0
2026-05-09 20:15:00,WhatsApp Banking,ORDER,cancel_order,624,Success,3,0.0
2026-05-07 07:34:00,Telegram Bot,ORDER,cancel_order,660,Success,3,0.0
2026-05-15 09:38:00,Web Chat,ORDER,cancel_order,849,Success,3,0.0
2026-05-13 23:07:00,WhatsApp Banking,ORDER,cancel_order,1125,Success,3,0.0
2026-05-12 05:57:00,Mobile App,ORDER,cancel_order,339,Success,3,0.0
2026-05-04 09:03:00,Mobile App,ORDER,cancel_order,1107,Success,3,0.0
2026-05-28 20:41:00,Mobile App,ORDER,cancel_order,836,Success,3,0.0
2026-05-26 06:43:00,WhatsApp Banking,ORDER,cancel_order,1107,Success,3,0.0
2026-05-07 17:07:00,Telegram Bot,ORDER,cancel_order,712,Success,3,0.0
2026-05-29 09:20:00,WhatsApp Banking,ORDER,cancel_order,981,Success,3,0.0
2026-05-06 18:51:00,WhatsApp Banking,ORDER,cancel_order,796,Success,3,0.0
2026-05-22 09:24:00,Telegram Bot,ORDER,cancel_order,170,Success,3,0.0
2026-05-08 04:30:00,Telegram Bot,ORDER,cancel_order,990,Success,3,0.0
